paper_id,title,authors,year,venue,task,modalities,trf_or_lagged_design,partial_correlation,residualize_input,residualize_embedding,residualize_q,residualize_k,residualize_v,condition_attention,acoustic_covariates,brain_data,teacher_model,hard_negative_control,code_available,closest_overlap,novelty_risk,url,notes
W4220949944,Shared computational principles for language processing in humans and deep language models,Ariel Goldstein; Zaid Zada; Eliav Buchnik; Mariano Schain; Amy Price; Bobbi Aubrey; Samuel A. Nastase; Amir Feder; Dotan Emanuel; Alon Cohen; Aren Jansen; Harshvardhan Gazula; Gina Choe; Aditi Rao; Catherine Kim; Colton Casto; Lora Fanda; Werner Doyle; Daniel Friedman; Patricia Dugan; Lucía Melloni; Roi Reichart; Sasha Devore; Adeen Flinker; Liat Hasenfratz; Omer Levy; Avinatan Hassidim; Michael P. Brenner; Yossi Matias; Kenneth A. Norman; Orrin Devinsky; Uri Hasson,2022,Nature Neuroscience,brain_variance_partition,representation,False,False,False,False,False,False,False,False,False,True,True,False,False,brain_variance_partition,high,https://doi.org/10.1038/s41593-022-01026-4,"Departing from traditional linguistic models, advances in deep learning have resulted in a new type of predictive (autoregressive) deep language models (DLMs). Using a self-supervised next-word prediction task, these models generate appropriate linguistic responses in a given context. In the current study, nine participants listened to a 30-min podcast while their brain responses were recorded using electrocorticogra"
W4389161687,Neural tracking measures of speech intelligibility: Manipulating intelligibility while keeping acoustics unchanged,I. M. Dushyanthi Karunathilake; Joshua P. Kulasingham; Jonathan Z. Simon,2023,Proceedings of the National Academy of Sciences,brain_variance_partition,representation,False,False,False,False,False,False,False,False,True,True,False,False,False,brain_variance_partition,high,https://doi.org/10.1073/pnas.2309166120,"Neural speech tracking has advanced our understanding of how our brains rapidly map an acoustic speech signal onto linguistic representations and ultimately meaning. It remains unclear, however, how speech intelligibility is related to the corresponding neural responses. Many studies addressing this question vary the level of intelligibility by manipulating the acoustic waveform, but this makes it difficult to cleanl"
manual-aad69bf408,Early language experience modulates the tradeoff between acoustic-temporal and lexico-semantic cortical tracking of speech,Jose Perez-Navarro; Anastasia Klimovich-Gray; Mikel Lizarazu; Giorgio Piazza; Nicola Molinaro; Marie Lallier,2024,iScience,brain_variance_partition,EEG-audio,True,False,False,False,False,False,False,False,True,True,False,False,False,brain_variance_partition,high,https://doi.org/10.1016/j.isci.2024.110247,Joint envelope and semantic TRFs support measurable higher-level EEG effects in a specific setting.
W4399053880,Exploring neural tracking of acoustic and linguistic speech representations in individuals with post‐stroke aphasia,Jill Kries; Pieter De Clercq; Marlies Gillis; Jonas Vanthornhout; Robin Lemmens; Tom Francart; Maaike Vandermosten,2024,Human Brain Mapping,brain_variance_partition,representation,False,False,False,False,False,False,False,False,True,True,False,False,False,brain_variance_partition,high,https://doi.org/10.1002/hbm.26676,"Aphasia is a communication disorder that affects processing of language at different levels (e.g., acoustic, phonological, semantic). Recording brain activity via Electroencephalography while people listen to a continuous story allows to analyze brain responses to acoustic and linguistic properties of speech. When the neural activity aligns with these speech properties, it is referred to as neural tracking. Even thou"
W4400199239,Shared functional specialization in transformer-based language models and the human brain,Sreejan Kumar; Theodore R. Sumers; Takateru Yamakoshi; Ariel Goldstein; Uri Hasson; Kenneth A. Norman; Thomas L. Griffiths; Robert D. Hawkins; Samuel A. Nastase,2024,Nature Communications,brain_variance_partition,representation,False,False,False,False,False,False,False,False,False,True,True,False,False,brain_variance_partition,high,https://doi.org/10.1038/s41467-024-49173-5,"When processing language, the brain is thought to deploy specialized computations to construct meaning from complex linguistic structures. Recently, artificial neural networks based on the Transformer architecture have revolutionized the field of natural language processing. Transformers integrate contextual information across words via structured circuit computations. Prior work has focused on the internal represent"
manual-b09b4b9aa8,Speech language models lack important brain-relevant semantics,Subba Reddy Oota et al.,2024,ACL,brain_variance_partition,representation,False,False,False,False,False,False,False,False,False,True,True,False,False,brain_variance_partition,high,https://aclanthology.org/2024.acl-long.462/,Closest mechanism paper: explicitly removes low-level features before brain alignment and reports loss of late-region predictive power for speech models.
manual-4f79c0840a,Attention Modulation to Linguistic Speech Units,Manuela Jaeger; Elana Zion-Golumbic; Martin Georg Bleichner,2025,Neurobiology of Language,brain_variance_partition,representation,True,False,False,False,False,False,False,False,True,True,False,False,False,brain_variance_partition,high,https://doi.org/10.1162/nol.a.14,Phoneme/word onset TRFs remain after including the speech envelope as a regressor.
manual-655743051e,Conditional Noise-Contrastive Estimation of Unnormalised Models,Ciwan Ceylan and Michael Gutmann,2018,ICML,conditional_multimodal,multimodal,False,True,False,False,False,False,False,False,False,False,False,False,False,conditional_multimodal,medium,https://proceedings.mlr.press/v80/ceylan18a.html,Conditional NCE is density estimation and not equivalent to partial attention.
manual-e76a32d282,ContraGAN: Contrastive Learning for Conditional Image Generation,Minguk Kang and Jaesik Park,2020,NeurIPS,conditional_multimodal,multimodal,False,False,False,False,False,False,False,False,False,False,False,False,False,conditional_multimodal,medium,https://proceedings.neurips.cc/paper/2020/hash/f490c742cd8318b8ee6dca10af2a163f-Abstract.html,Class-conditional contrastive loss; semantic overlap in name only.
manual-ed7ae9c3ac,InfoGCL: Information-Aware Graph Contrastive Learning,Dongkuan Xu et al.,2021,NeurIPS,conditional_multimodal,EEG-audio,False,False,True,True,False,False,False,False,False,True,False,False,False,conditional_multimodal,medium,https://proceedings.neurips.cc/paper/2021/hash/ff1e68e74c6b16a1a7b5d958b95e120c-Abstract.html,Information bottleneck comparison; no EEG or Q/K residualization.
manual-13def5e9fc,Conditional Contrastive Learning with Kernel,Yao-Hung Hubert Tsai et al.,2022,ICLR,conditional_multimodal,multimodal,False,False,True,True,False,False,False,False,False,False,False,False,False,conditional_multimodal,medium,https://openreview.net/forum?id=AAJLBoGt0XM,Direct conditional contrastive prior work; conditions sampling/objective rather than residualizing Q/K.
manual-88787de2b5,Conditional Contrastive Networks,Emily Mu and John Guttag,2022,NeurIPS workshop,conditional_multimodal,EEG-audio,False,False,False,False,False,False,False,False,True,True,False,False,False,conditional_multimodal,medium,https://openreview.net/forum?id=MbpMqAXAGFH,Learns separate conditional similarity subspaces; no lagged acoustic nuisance or EEG.
manual-3ce2ad46bb,Multimodal Contrastive Learning via Uni-Modal Coding and Cross-Modal Prediction for Multimodal Sentiment Analysis,Ronghao Lin and Haifeng Hu,2022,Findings EMNLP,conditional_multimodal,multimodal,False,False,False,False,False,False,False,False,False,False,False,False,False,conditional_multimodal,medium,https://aclanthology.org/2022.findings-emnlp.36/,Cross-modal contrastive baseline without nuisance conditioning.
manual-99c2e99053,Conditional Mutual Information for Disentangled Representations in Reinforcement Learning,Mhairi Dunion et al.,2023,NeurIPS,conditional_multimodal,multimodal,False,False,False,False,False,False,False,False,False,False,False,False,False,conditional_multimodal,medium,https://proceedings.neurips.cc/paper_files/paper/2023/hash/fd750154df5f199f94df897975621306-Abstract-Conference.html,"Actually optimizes a CMI-motivated objective, underscoring that an attention score is not a CMI estimator."
manual-942b70b90c,Information Subtraction: Learning Representations for Conditional Entropy,Keng-Hou Leong et al.,2024,ICLR submission,conditional_multimodal,multimodal,False,False,False,False,False,False,False,False,False,False,False,False,False,conditional_multimodal,medium,https://openreview.net/forum?id=C2uViDZmNp,"Targets arbitrary continuous conditioning via learned information subtraction, broader but less established."
manual-51872a601e,Conditional Semantic Textual Similarity via Conditional Contrastive Learning,Xinyue Liu et al.,2025,COLING,conditional_multimodal,multimodal,False,False,True,True,False,False,False,False,False,False,False,False,False,conditional_multimodal,medium,https://aclanthology.org/2025.coling-main.306/,"Conditional similarity objective, not covariate residualization."
manual-458223870b,Enhancing Multimodal Entity Linking with Jaccard Distance-based Conditional Contrastive Learning and Contextual Visual Augmentation,Cong-Duy T Nguyen et al.,2025,NAACL,conditional_multimodal,multimodal,False,False,False,False,False,False,False,False,True,False,False,True,False,conditional_multimodal,medium,https://aclanthology.org/2025.naacl-long.341/,Condition-matched hard negatives are conceptually close to acoustically matched negatives.
W2968050947,Comparison of Two-Talker Attention Decoding from EEG with Nonlinear Neural Networks and Linear Methods,Gregory Ciccarelli; Michael A. Nolan; Joseph Perricone; Paul Calamia; Stephanie Haro; James O’Sullivan; Nima Mesgarani; Thomas F. Quatieri; Christopher J. Smalt,2019,Scientific Reports,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,True,True,False,False,False,eeg_audio,medium,https://doi.org/10.1038/s41598-019-47795-0,"Auditory attention decoding (AAD) through a brain-computer interface has had a flowering of developments since it was first introduced by Mesgarani and Chang (2012) using electrocorticograph recordings. AAD has been pursued for its potential application to hearing-aid design in which an attention-guided algorithm selects, from multiple competing acoustic sources, which should be enhanced for the listener and which sh"
W3157504026,Decoding Covert Speech From EEG-A Comprehensive Review,Jerrin Thomas Panachakel; Angarai Ganesan Ramakrishnan,2021,Frontiers in Neuroscience,eeg_audio,EEG-audio,False,False,False,False,False,False,False,False,False,True,False,False,False,eeg_audio,medium,https://doi.org/10.3389/fnins.2021.642251,"Over the past decade, many researchers have come up with different implementations of systems for decoding covert or imagined speech from EEG (electroencephalogram). They differ from each other in several aspects, from data acquisition to machine learning algorithms, due to which, a comparison between different implementations is often difficult. This review article puts together all the relevant works published in t"
